Target Geo Id2,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
,United States,308745538,131704730,3796742.23,264836.79,3531905.43,87.4,37.3
1,Alabama,4779736,2171853,52420.07,1774.74,50645.33,94.4,42.9
1001,Autauga County,54571,22135,604.39,9.95,594.44,91.8,37.2
1003,Baldwin County,182265,104061,2027.31,437.53,1589.78,114.6,65.5
1005,Barbour County,27457,11829,904.52,19.64,884.88,31,13.4
1007,Bibb County,22915,8981,626.17,3.59,622.58,36.8,14.4
1009,Blount County,57322,23887,650.63,5.85,644.78,88.9,37
1011,Bullock County,10914,4493,625.14,2.34,622.8,17.5,7.2
1013,Butler County,20947,9964,777.88,1.05,776.83,27,12.8
1015,Calhoun County,118572,53289,612.29,6.42,605.87,195.7,88
1017,Chambers County,34215,17004,603.11,6.58,596.53,57.4,28.5
1019,Cherokee County,25989,16267,599.98,46.28,553.7,46.9,29.4
1021,Chilton County,43643,19278,700.8,7.95,692.85,63,27.8
1023,Choctaw County,13859,7269,920.86,7.36,913.5,15.2,8
1025,Clarke County,25833,12638,1252.57,14.11,1238.46,20.9,10.2
1027,Clay County,13932,6776,606,2.04,603.96,23.1,11.2
1029,Cleburne County,14972,6718,561.01,0.91,560.1,26.7,12
1031,Coffee County,49948,22330,680.49,1.52,678.97,73.6,32.9
1033,Colbert County,54428,25758,622.13,29.51,592.62,91.8,43.5
1035,Conecuh County,13228,7093,852.72,2.57,850.16,15.6,8.3
1037,Coosa County,11539,6478,666.35,15.42,650.93,17.7,10
1039,Covington County,37765,18829,1043.79,13.33,1030.46,36.6,18.3
1041,Crenshaw County,13906,6735,610.92,2.08,608.84,22.8,11.1
1043,Cullman County,80406,37054,755.02,20.18,734.84,109.4,50.4
1045,Dale County,50251,22677,562.7,1.55,561.15,89.6,40.4
1047,Dallas County,43820,20208,993.8,15.11,978.69,44.8,20.6
1049,DeKalb County,71109,31109,778.69,1.59,777.09,91.5,40
1051,Elmore County,79303,32657,657.04,38.56,618.48,128.2,52.8
1053,Escambia County,38319,16486,953.14,8.06,945.08,40.5,17.4
1055,Etowah County,104430,47454,548.63,13.64,534.99,195.2,88.7
1057,Fayette County,17241,8437,629.36,1.7,627.66,27.5,13.4
1059,Franklin County,31704,14022,646.52,12.7,633.82,50,22.1
1061,Geneva County,26790,12687,578.95,4.54,574.41,46.6,22.1
1063,Greene County,9045,5007,659.94,12.83,647.11,14,7.7
1065,Hale County,15760,7655,656.5,12.56,643.94,24.5,11.9
1067,Henry County,17302,8891,568.31,6.56,561.75,30.8,15.8
1069,Houston County,101547,45319,581.65,1.83,579.82,175.1,78.2
1071,Jackson County,53227,24786,1126.77,48.9,1077.87,49.4,23
1073,Jefferson County,658466,300552,1123.81,12.54,1111.28,592.5,270.5
1075,Lamar County,14564,7354,605.46,0.62,604.85,24.1,12.2
1077,Lauderdale County,92709,43791,720.99,53.29,667.7,138.8,65.6
1079,Lawrence County,34339,15229,717.2,26.52,690.68,49.7,22
1081,Lee County,140247,62391,615.85,8.31,607.54,230.8,102.7
1083,Limestone County,82782,34977,607.19,47.25,559.94,147.8,62.5
1085,Lowndes County,11299,5140,725.07,9.16,715.91,15.8,7.2
1087,Macon County,21452,10259,613.21,4.32,608.89,35.2,16.8
1089,Madison County,334811,146447,812.7,11.11,801.59,417.7,182.7
1091,Marengo County,21027,10237,982.67,5.79,976.88,21.5,10.5
1093,Marion County,30776,14737,743.57,1.28,742.29,41.5,19.9
1095,Marshall County,93019,40342,623.18,57.34,565.84,164.4,71.3
