OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
549,556,FS-1420078,87.8,1120954200,64.58,1120999500,87.8,1120954200,62.92,1120916640,49.34,0.4,,0.11,0,0,,0,,1120913220,1120965180,88.3,1120954200,64.09,1120999500,88.3,1120954200,62.43,1120916640,1120892400,,,228,23.53,1120939500,4.45,35.68805556,-118.4383333,-7,America/Los_Angeles
583,590,FS-1420201,99.63,1121551080,72.77,1121603520,99.63,1121551080,75.2,1121518200,52.42,0.32,rain,0.34,0.0185,0.2734,1121562000,1,rain,1121516880,1121567880,100.13,1121551080,72.29,1121603520,100.13,1121551080,74.71,1121518200,1121497200,0,1121497200,188,17.93,1121570700,2.85,33.93361111,-111.3797222,-7,America/Phoenix
592,599,FS-1420230,98.75,1121811240,73.93,1121864700,98.75,1121811240,75.31,1121773860,51.59,0.31,,0.45,0.0586,0.3198,1121779800,0.21,rain,1121776140,1121826840,99.25,1121811240,73.44,1121864700,99.25,1121811240,74.82,1121773860,1121756400,0,1121756400,335,18.59,1121760000,3.69,33.55111111,-111.1066667,-7,America/Phoenix
745,757,FS-1420538,58.72,1112739360,24.84,1112791140,58.72,1112739360,35.31,1112706660,30.92,0.59,rain,0.9,0.002,0.0315,1112688000,0.88,rain,1112704740,1112751600,59.22,1112739360,30.47,1112791620,59.22,1112739360,38.79,1112763600,1112680800,0,1112680800,317,29.61,1112726880,8.99,45.30833333,-106.3583333,-6,America/Denver
1587,1601,FS-1422365,96.97,1124745900,66.7,1124799000,96.97,1124745900,65.89,1124715780,46.59,0.36,,0.63,0,0,,0,,1124712900,1124762460,97.47,1124745900,66.21,1124799000,97.47,1124745900,65.4,1124715780,1124690400,0,1124690400,187,14.47,1124766060,4.07,45.44833333,-105.9552778,-6,America/Denver
1805,1819,FS-1422802,77.39,1124049840,57.63,1124107440,77.39,1124049840,52.55,1124026020,36.12,0.35,clear-day,0.32,0,0,,0,,1124023980,1124075040,77.89,1124049840,57.14,1124107440,77.89,1124049840,52.06,1124026020,1124002800,8,1124049420,330,13.55,1124057160,1.99,45.84083333,-118.0677778,-7,America/Los_Angeles
1958,1973,FS-1423096,94.14,1120860180,68.78,1120885380,94.14,1120860180,65.78,1120809720,51.23,0.41,partly-cloudy-day,0.08,0,0,,0,,1120821600,1120876800,94.64,1120860180,68.29,1120885380,94.64,1120860180,65.29,1120809720,1120802400,9,1120849140,161,23.75,1120871640,5.13,44.19361111,-103.3938889,-6,America/Denver
1971,1986,FS-1423128,89.28,1122145200,63.04,1122205800,89.28,1122145200,70.82,1122181200,51.22,0.35,,0.6,0,0,,0,,1122118560,1122172380,89.78,1122145200,62.55,1122205800,89.78,1122145200,70.33,1122181200,1122098400,,,330,25.65,1122101880,4.54,44.37194444,-104.1741667,-6,America/Denver
3160,3178,FS-1425640,99.21,1123365060,53.93,1123422420,99.21,1123365060,52.59,1123335780,42.18,0.41,clear-day,0.06,0.0001,0.0021,1123387200,0.05,rain,1123331340,1123383540,99.71,1123365060,53.44,1123422420,99.71,1123365060,52.1,1123335780,1123308000,9,1123355160,135,32.49,1123376160,2.52,45.38805556,-114.21,-6,America/Denver
3313,3331,FS-1425860,92.1,1119480000,68.28,1119530880,92.1,1119480000,65.81,1119442440,38.99,0.27,,0.54,0,0,,0,,1119442200,1119493860,92.6,1119480000,67.79,1119530880,92.6,1119480000,65.32,1119442440,1119420000,0,1119420000,106,19.84,1119423540,5.81,33.16972222,-109.1905556,-6,America/Denver
